cve_id,published,cvss_version,base_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,exploitability,products,n_products
CVE-2026-2279,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,HIGH,NONE,1.2,,0
CVE-2026-2290,2026-03-21,3.1,3.8,LOW,NETWORK,LOW,HIGH,NONE,1.2,,0
CVE-2026-2294,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-2351,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-2375,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-2424,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-2427,2026-03-21,3.1,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-2440,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-2468,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-2496,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-2501,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-2503,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-2720,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-2723,2026-03-21,3.1,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-2837,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-2941,2026-03-21,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-3003,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3331,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-3332,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-3333,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3334,2026-03-21,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-3335,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3347,2026-03-21,3.1,5.5,MEDIUM,NETWORK,LOW,HIGH,NONE,2.3,,0
CVE-2026-3353,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-3354,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-3460,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3478,2026-03-21,3.1,7.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3506,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3546,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3554,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3570,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3617,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3619,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3641,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3645,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3651,2026-03-21,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3996,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-3997,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4004,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-4022,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4067,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4069,2026-03-21,3.1,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-4072,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4077,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4084,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4086,2026-03-21,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4087,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4127,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4143,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-4161,2026-03-21,3.1,4.4,MEDIUM,NETWORK,HIGH,HIGH,NONE,1.3,,0
CVE-2026-4261,2026-03-21,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4509,2026-03-21,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4373,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-4510,2026-03-21,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-4511,2026-03-21,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4513,2026-03-21,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4514,2026-03-21,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4515,2026-03-21,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,deepwisdom:metagpt,1
CVE-2019-25544,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,pidgin:pidgin,1
CVE-2019-25545,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,lizardsystems:terminal_services_manager,1
CVE-2019-25546,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,spytech-web:netaware,1
CVE-2019-25547,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,spytech-web:netaware,1
CVE-2019-25548,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,bluestacks:bluestacks,1
CVE-2019-25549,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,verypdf:verypdf,1
CVE-2019-25550,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,verypdf:encrypt_pdf,1
CVE-2019-25551,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,sandboxie-plus:sandboxie,1
CVE-2019-25552,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,cewe:photo_show,1
CVE-2019-25553,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,cewe:photo_importer,1
CVE-2019-25554,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,tomabo:mp4_converter,1
CVE-2019-25555,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,pixarra:twistedbrush_pro_studio,1
CVE-2019-25556,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,pixarra:twistedbrush_pro_studio,1
CVE-2019-25557,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,pixarra:twistedbrush_pro_studio,1
CVE-2019-25558,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,pixarra:selfie_studio,1
CVE-2019-25559,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,nsasoft:spotpaltalk,1
CVE-2019-25560,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,lyricvideocreator:lyric_video_creator,1
CVE-2019-25561,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,jetaudio:lyric_maker,1
CVE-2019-25562,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,jetaudio:jetaudio,1
CVE-2019-25563,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,uvnc:pchelpwarev2,1
CVE-2019-25564,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,uvnc:pchelpwarev2,1
CVE-2019-25565,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,magiciso:magic_iso_maker,1
CVE-2019-25566,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,acutesystems:transmac,1
CVE-2019-25567,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,valentina-db:studio,1
CVE-2019-25568,2026-03-21,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,microvirt:memu,1
CVE-2019-25569,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,crun:realterm,1
CVE-2019-25570,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,crun:realterm,1
CVE-2019-25571,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,ventismedia:mediamonkey,1
CVE-2019-25572,2026-03-21,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,nordvpn:nordvpn,1
CVE-2026-4516,2026-03-21,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,deepwisdom:metagpt,1
CVE-2019-25573,2026-03-21,3.1,7.1,HIGH,NETWORK,LOW,LOW,NONE,2.8,njtech:greencms,1
CVE-2019-25574,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,njtech:greencms,1
CVE-2019-25575,2026-03-21,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,simplepresscms:simplepress_cms,1
CVE-2019-25576,2026-03-21,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,keplerwallpapers:kepler_wallpaper_script,1
CVE-2019-25577,2026-03-21,3.1,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,1.8,seotoaster:seotoaster,1
CVE-2019-25578,2026-03-21,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,codnloc:phptransformer,1
CVE-2019-25579,2026-03-21,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,codnloc:phptransformer,1
CVE-2019-25580,2026-03-21,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,owndms:owndms,1
CVE-2019-25581,2026-03-21,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,i-doit:i-doit,1
CVE-2019-25582,2026-03-21,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,i-doit:i-doit,1
CVE-2026-2756,2026-03-21,3.1,5.0,MEDIUM,ADJACENT,HIGH,NONE,NONE,1.6,,0
CVE-2026-4528,2026-03-21,3.1,7.3,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-3629,2026-03-21,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-4529,2026-03-21,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,dlink:dhp-1320_firmware,1
CVE-2026-4530,2026-03-22,3.1,5.3,MEDIUM,LOCAL,LOW,LOW,NONE,1.8,,0
CVE-2019-25583,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,raimersoft:rarmaradio,1
CVE-2019-25584,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,raimersoft:rarmaradio,1
CVE-2019-25585,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,deluge-torrent:deluge,1
CVE-2019-25586,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,deluge-torrent:deluge,1
CVE-2019-25587,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,bpftpserver:bulletproof_ftp_server,1
CVE-2019-25588,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,bpftpserver:bulletproof_ftp_server,1
CVE-2019-25589,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,emtec:zoc,1
CVE-2026-4531,2026-03-22,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-4532,2026-03-22,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,carmelo:simple_food_order_system,1
CVE-2025-71276,2026-03-22,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,alinto:sogo,1
CVE-2026-33549,2026-03-22,3.1,6.7,MEDIUM,NETWORK,HIGH,LOW,REQUIRED,1.2,spip:spip,1
CVE-2026-33550,2026-03-22,3.1,2.0,LOW,NETWORK,HIGH,HIGH,REQUIRED,0.5,alinto:sogo,1
CVE-2026-4533,2026-03-22,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,carmelo:simple_food_order_system,1
CVE-2026-3427,2026-03-22,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-4314,2026-03-22,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4534,2026-03-22,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,tenda:fh451_firmware,1
CVE-2026-4535,2026-03-22,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,tenda:fh451_firmware,1
CVE-2026-4536,2026-03-22,3.1,7.3,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-4537,2026-03-22,3.1,4.7,MEDIUM,NETWORK,LOW,HIGH,NONE,1.2,,0
CVE-2026-4538,2026-03-22,3.1,5.3,MEDIUM,LOCAL,LOW,LOW,NONE,1.8,linuxfoundation:pytorch,1
CVE-2026-4539,2026-03-22,3.1,3.3,LOW,LOCAL,LOW,LOW,NONE,1.8,,0
CVE-2026-4540,2026-03-22,3.1,7.3,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-4541,2026-03-22,3.1,2.5,LOW,LOCAL,HIGH,LOW,NONE,1.0,,0
CVE-2026-4542,2026-03-22,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-4543,2026-03-22,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,wavlink:wl-wn578w2_firmware,1
CVE-2026-4544,2026-03-22,3.1,2.4,LOW,NETWORK,LOW,HIGH,REQUIRED,0.9,wavlink:wl-wn578w2_firmware,1
CVE-2026-4545,2026-03-22,3.1,7.0,HIGH,LOCAL,HIGH,LOW,NONE,1.0,flos-freeware:notepad2,1
CVE-2026-4115,2026-03-22,3.1,3.7,LOW,NETWORK,HIGH,NONE,NONE,2.2,putty:putty,1
CVE-2019-25590,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25591,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25592,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25593,2026-03-22,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,,0
CVE-2019-25594,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25595,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25596,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,nsasoft:spotauditor,1
CVE-2019-25597,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,nsasoft:nsauditor,1
CVE-2019-25598,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25599,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25600,2026-03-22,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2019-25601,2026-03-22,3.1,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,,0
CVE-2019-25602,2026-03-22,3.1,5.5,MEDIUM,LOCAL,LOW,NONE,REQUIRED,1.8,,0
